Original Transcription,New transcription,Detected Intent,New Intent
Show me the jazz packages.,Show me the Jazz packages.,unknown,unknown
1 million rupees to Malik Hamza.,Transfer one million rupees to Malik Hamza.,pay_bill,send_money
Transfer one rupee to Malik Hamza.,Transfer one rupee to Malik Hamza.,send_money,send_money
پاسپورٹ ون روپیہ۔,Transfer one rupee to Malik Hamza.,unknown,send_money
Send fifty thousand to Uzair Naveed Khan.,"Send 50,000 to Uzair Naveed Khan.",send_money,send_money
Send 100 to Muhammad Anas.,Send 100 to Muhammad Anas.,send_money,send_money
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,pay_bill,send_money
ہیجوبیل,Hey UBL,unknown,unknown
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,pay_bill,send_money
ہم دان,حمدان,unknown,unknown
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names. Transcribe the Pakistani names in the audio correctly. The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names. Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",پانچ ہزار روپے,pay_bill,unknown
محمد علی کو بولو کہ پانچ ہزار مجھے بھیجے۔,محمد علی کو بولو کہ پانچ ہزار مجھے بھیجے۔,send_money,send_money
محمد علی کو پانچ ہزار بھیجو,محمد علی کو پانچ ہزار بھیجو.,send_money,send_money
لگے اکاؤنٹ نمبر 0316556253,Send 5000 to Muhammad Ali account number 03165562253.,download_statement,send_money
میری گاہست ٹرانزیکشن,My last transaction.,unknown,download_statement
عطیف خان,Atif Khan.,unknown,unknown
سلمان خان,سلمان خان,unknown,unknown
میری آخری ٹرانزیکشن,My last transaction.,download_statement,download_statement
Send five hundred thousand to Waleed uz Zaman Khan.,Send 500000 to Waleed uz Zaman Khan.,send_money,send_money
Send one hundred thousand to Zamat account.,"Send 100,000 to Zamart account.",send_money,send_money
Send twenty-five thousand to Zamat.,Send 25000 to Zamart.,send_money,send_money
فنڈز ٹرانسفر,فنڈز ٹرانسفر,unknown,send_money
سلمان خان یو بی ایل بینک اکاؤنٹ,سلمان خان یو بی ایل بینک اکاؤنٹ,download_statement,unknown
السلام علیکم,السلام علیکم,unknown,unknown
Hello,Hello,unknown,unknown
600 اسد الرحمان جاز کیش,600 اسد الرحمان جیز کیش.,send_money,send_money
سین سکس ہنڈرڈ ان اسد الرحمن جیس کیش اکاؤنٹ,Send 600 in Asad ur Rehman JazzCash account.,download_statement,send_money
سکس ہنڈرڈ روپیز ان اسد الرحمن جیس کیش اکاؤنٹ,Send 600 rupees in Asad Rehman JazzCash account.,download_statement,send_money
Show me my balance.,Show me my balance.,unknown,unknown
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,pay_bill,send_money
ٹرانسفر ون ہنڈرڈ ٹو ادی احمد,Transfer 100 to Adil Ahmed.,send_money,send_money
ٹرانسفر ون تھاؤزن ٹو ادی لیمت,Transfer 1000 to Adeel Ahmed.,send_money,send_money
Send fifty thousand to Abdullah's account.,Send 50000 to Abdullah Javed account.,send_money,send_money
Send 24 rupees to Hussain Ahsan. EasyPaisa.,Send 24 rupees to Hussain Ahsan.,send_money,send_money
Send 24 rupees to Sain Hassan.,Send 24 rupees to Sain Hassan EasyPaisa.,send_money,send_money
محمد امادہ زرقو پانچ سو روپے بھیج دیں۔,محمد امجد کو پانچ سو روپے بھیج دیں.,send_money,send_money
Transfer money to Maryam Hothi.,Transfer money to Maryam Hoti.,send_money,send_money
Show me how much total balance in my account.,Show me how much total balance in my account.,download_statement,unknown
Transfer ten k to Hira Umar account UBL.,Transfer 10k to Hira Umar account UBL.,send_money,send_money
How to get credit card?,How to get credit card.,unknown,unknown
گورنمنٹ ویب سائٹ,گورنمنٹ ویب سائٹ,unknown,unknown
Hello,Hello,unknown,unknown
بلپڈ,Bill paid.,unknown,pay_bill
ہلو میرے اکاؤنٹ میں بتائیں بیلنس کتنا ہے؟,ہلو میرے اکاؤنٹ میں بتائیں بیلنس کتنا ہے?,unknown,unknown
Pay twenty thousand rupees to Mahira Haider in Mizan Bank.,Pay 20000 rupees to Mahira Haider in Meezan Bank.,send_money,send_money
شو بیلنس,Show balance.,mobile_topup,unknown
سادہ بی میں دو سو روپے بھیج دو,سادہ پے میں دو سو روپے بھیج دو۔,send_money,send_money
Open UBL Bank.,Open UBL Bank.,unknown,unknown
I love you.,I love you.,unknown,unknown
Hello UBL,Hello UBL.,unknown,unknown
How many accounts do I have in UBL?,How many accounts do I have in UBL?,unknown,unknown
"If there is no speech in the audio, return empty text.",پانچ ہزار روپے,mobile_topup,unknown
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,pay_bill,send_money
Send hundred rupees to Muhammad Raza.,Send 100 rupees to Muhammad Raza.,send_money,send_money
کار فنانس,Car finance.,unknown,unknown
Send five hundred rupees to Shafiq.,Send 500 rupees to Shafiq.,send_money,send_money
How much is my balance?,How much my balance?,unknown,unknown
How much my balance?,How much my balance?,unknown,unknown
کریڈٹ کارڈ,Credit card.,unknown,unknown
ڈیبیٹ کارڈ,Debit card.,unknown,unknown
ڈیبیٹ کارڈ اپلائی کرنے کے لیے کیا کرنا ہے؟,ڈیبٹ کارڈ اپلائی کرنے کے لیے کیا کریں?,unknown,unknown
I want to apply new debit card.,I want to apply new debit card.,unknown,unknown
Apply debit card.,Apply debit card.,unknown,unknown
سندھ کو 1100، سدا پہ محمد احسن اکاؤنٹ۔,Send 1100 Sada Pay Muhammad Ahsan account.,send_money,send_money
آئی سی سدا پے اکاؤنٹ، محمد احسن اکاؤنٹ، سدا پے ایس اے ڈی اے پی اے وائی، دیز بینک,آئی سے صدا پے اکاؤنٹ محمد احسن اکاؤنٹ.,download_statement,send_money
1100 سینڈو سادہ پہ محمد احسن,1100 سینڈ کر دو محمد احسن.,send_money,send_money
Can you please send one lakh fifty thousand to Muhammad Usman UBL?,"Can you please send 150,000 to Muhammad Usman UBL?",send_money,send_money
Can you please send 3800 to Muhammad Noman Nayab?,Can you please send 3800 to Muhammad Noman Nayab?,send_money,send_money
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,pay_bill,send_money
سینٹر تھرٹی ایٹ ہنڈرڈ تو محمد امان نیابے,Send 3800 to Muhammad Noman.,download_statement,send_money
ہاں,Empty,unknown,unknown
"If there is no speech in the audio, return empty text.",Please transfer 5000 rupees to Ali's account.,mobile_topup,send_money
ہاں، ہاں.,محمد,unknown,unknown
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,pay_bill,send_money
Can you please send one lakh fifty thousand to Muhammad Noman Naya?,"Can you please send 150,000 to Muhammad Noman Niazi?",send_money,send_money
ہیلو یہ یو بی ایل بینک کا جو کارڈ ہوتا ہے ایٹریم کارڈ یہ کیسے ایکٹیویٹ ہوتا ہے؟,ہیلو یہ یو بی ایل بینک کا جو کارڈ ہوتا ہے اے ٹی ایم کارڈ یہ کیسے ایکٹیویٹ ہوتی ہے?,unknown,unknown
اگر آڈیو میں کوئی تقریر نہیں ہے تو خالی متن واپس کریں۔ اہم: آڈیو میں اردو یا انگریزی تقریر ہو سکتی ہے۔ مذکورہ نام عام طور پر پاکستانی نام ہیں۔ آڈیو میں پاکستانی ناموں کو صحیح طریقے سے نقل کریں۔ آڈیو ایک مالیاتی حکم ہے رقم بھیجنے/منتقل کرنے کے لیے۔ احکامات میں شامل ہو سکتے ہیں: رقم کی منتقلی، بل کی ادائیگی، موبائل ٹاپ اپ، یا بیان کی درخواست۔ نمبر اور مقداریں کسی بھی زبان میں بولی جا سکتی ہیں — ہمیشہ انہیں عددی اعداد میں تبدیل کریں۔ مذکورہ نام عام طور پر پاکستانی نام ہیں۔ فائدہ اٹھانے والے کے نام اور بینک کے نام کو صحیح طریقے سے پکڑنے پر توجہ دیں۔ فلر الفاظ کو نظر انداز کریں۔,حسن,send_money,unknown
"Okay, transfer money to my account. Hello, kya ho gaya? Hi Queen.",Okay transfer money to my account.,send_money,send_money
پانجی,ہاں جی,unknown,unknown
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,pay_bill,send_money
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,pay_bill,send_money
"If there is no speech in the audio, return empty text.",پانچ ہزار روپے,mobile_topup,unknown
"If there is no speech in the audio, return empty text.",Please transfer 5000 rupees to Ali's account.,mobile_topup,send_money
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,pay_bill,send_money
پیسے بھیجنے۔,اور پھر واپس,send_money,unknown
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names. Transcribe the Pakistani names in the audio correctly. The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names. Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",,pay_bill,
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names. Transcribe the Pakistani names in the audio correctly. The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names. Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",پانچ ہزار روپے,pay_bill,unknown
"Hey, can you do a","Hey, can you do",unknown,unknown
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",پانچ ہزار روپے.,pay_bill,unknown
Send one hundred rupees to Muhammad Umar Sada.,Send 100 rupees to Muhammad Umar Saada Pay.,send_money,send_money
ٹرانسفر ٹو سمیع احمد,Transfer to Sumair Ahmed.,send_money,send_money
"If there is no speech in the audio, return empty text.",پانچ ہزار روپے,mobile_topup,unknown
Hello.,اوپن پے ناؤ.,unknown,unknown
اوپن دا سٹیٹمنٹ,Open the statement.,download_statement,download_statement
Send ten thousand rupees to Muhammad Ahmad Faisal Bank.,"Send 10,000 rupees to Muhammad Ahmad Faysal Bank.",send_money,send_money
ہزار روپے سینڈ محمد ابراہیم بینک اسلامی,Thousand rupees send Muhammad Ibrahim Bank Islami.,send_money,send_money
I want to send to Rana Haider.,I want to send to Rana Haider.,send_money,send_money
I want to send,I want to send,send_money,send_money
"Hello, how are you?","Hello, how are you?",unknown,unknown
ہزار روپیہ بھیجنا ہے ایزی پیسہ۔,ہزار پیا بھیجنا ہے ایزی پیسہ۔,send_money,send_money
پے ون تھاؤزن ون ہنڈرڈ سیونٹی روپیز ٹو علی بن جمیل,Pay 1170 rupees to Ali bin Jameel.,send_money,send_money
پے فورٹین ہنڈرڈ اینڈ ٹوئنٹی ٹو روپیز ٹو شاہ زیب اعظم,Pay 1422 rupees to Shahzaib Azam.,send_money,send_money
Send eighty thousand to Muhammad Ahmed Bank Alfalah.,"Send 80,000 to Muhammad Ahmed Bank Alfalah.",send_money,send_money
Send eighty thousand to Muhammad Ahmed Bank Alfalah.,"Send 80,000 to Muhammad Ahmed Bank Alfalah.",send_money,send_money
سبحان کو تین ہزار ایک سو بھیجو,Subhan کو 3100 بھیجو.,send_money,send_money
پے تین ہزار ون ہنڈڈ تو سبحان,پے 3100 تو سبحان.,send_money,send_money
"If there is no speech in the audio, return empty text.",Please transfer 5000 rupees to Ali's account.,mobile_topup,send_money
Send 82500 to Arsalan Naveed UBL.,Send 82500 to Arsalan Naveed UBL.,send_money,send_money
Go to home,Go to home.,unknown,unknown
"Hello, transfer",Transfer,unknown,send_money
اکاؤنٹ بیلنس کتنا ہے؟,اکاؤنٹ بیلنس.,unknown,unknown
"If there is no speech in the audio, return empty text.",Please transfer 5000 rupees to Ali's account.,mobile_topup,send_money
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,pay_bill,send_money
"If there is no speech in the audio, return empty text.",,mobile_topup,
Send one thousand to Zahida Bank Islami.,Send 1000 to Zahida Bank Islami.,send_money,send_money
بینک اسٹرمن بتاؤ,بینک اسٹرمنٹ بتاؤ.,unknown,download_statement
لاہور,Zara.,unknown,unknown
"Hey, hey.",Hey.,unknown,unknown
شو میک ہونڈ بیلنس,شو می اکاؤنٹ بیلنس,unknown,unknown
شہومی بہت اکاؤنٹ,مجھے بہت تھکاون,unknown,unknown
Show me account statement.,Show me account statement.,download_statement,download_statement
Show me account statement.,Show me account statement.,download_statement,download_statement
شو میکان سٹیٹمنٹ,Show me account statement.,download_statement,download_statement
Show my account history.,Show my account history.,download_statement,download_statement
Send 5000 to Fahad.,Send 5000 to Fahad.,send_money,send_money
پے ٹین تھاؤزن ٹو محمد ندیم,"Pay 10,000 to Muhammad Nadeem.",send_money,send_money
"If there is no speech in the audio, return empty text.",پانچ ہزار روپے بھیج دیں.,mobile_topup,send_money
Pay ten thousand to M. Nadeem.,"Pay 10,000 to M. Nadeem.",send_money,send_money
Send money to Aiman Nasir.,Send money to Aiman Nasir.,send_money,send_money
عادل خان ایزی پیسہ,Adil Khan EasyPaisa.,unknown,send_money
عادل خان,عدیل خان,unknown,unknown
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,pay_bill,send_money
"If there is no speech in the audio, return empty text.",حسن کو پانچ سو روپے بھیجیں۔,mobile_topup,send_money
Send 300 rupees to Paynee Gani Abas JazzCash.,Send 300 rupees to payee Ghani Abbas JazzCash.,send_money,send_money
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,pay_bill,send_money
Transfer money,Transfer money,unknown,send_money
Hello UBL.,Hello UBL.,unknown,unknown
Hello,Hello,unknown,unknown
پلاوے دا خطور سانگھ۔,پلا دے تاکہ درساں۔,unknown,unknown
Send five million to Ali Hamza.,Send 5 million to Ali Hamza.,send_money,send_money
سن فائیو ہنڈرڈ تو حارث زہیرون جاز کیش,Send 500 to Haris Nazir on JazzCash.,unknown,send_money
7500 to Haris Nazir on HCB.,Send 500 to Haris Nazir on HCB.,send_money,send_money
سن پانچ سو ہارث نذیرونی ایزی پیسہ,Send 500 to Haris Nazir on EasyPaisa.,send_money,send_money
Open my transactions.,Open my transactions.,unknown,download_statement
Hello,Hello,unknown,unknown
Hello,لالہ,unknown,unknown
او میرا نیم، ایچ بی ایل پیز اکاؤنٹ,عمیرا نعیم ایچ بی ایل پیز اکاؤنٹ۔,download_statement,unknown
عمرہ نے ایچ بی ایل,میرا نیم ایچ بی ایل.,unknown,unknown
اسماء بی بی کے نام پر دو ہزار سینڈ کر دو۔,اسما بی بی کے نام پر دو ہزار سینڈ کر دو۔,send_money,send_money
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",بجلی کا بل ادا کریں.,pay_bill,pay_bill
عابد مجید کے نام پہ پانچ سو روپے سینڈ کر دو۔,عبد المجید کے نام پہ پانچ سو روپے سینڈ کر دو ایزی پیسہ پہ.,send_money,send_money
پیسے بھیجنے کے لیے۔,Ali ko pachas rupay bhejain.,send_money,send_money
"Hi, can you show the balance?","Hi, can you show the balance?",unknown,unknown
I want to send money via JazzCash.,I want to send money via JazzCash.,send_money,send_money
ایک جاز کیش کرنا ہے۔,ایک جاز کیش کرنا ہے.,unknown,topup
سجاد کمال حیدر,سعد کمال حیدر,unknown,unknown
"If there is no speech in the audio, return empty text.",پانچ ہزار روپے,mobile_topup,unknown
Limit Management,Limit management.,download_statement,unknown
Limit Management,Limit management.,download_statement,unknown
شو بیلنس,Show balance.,mobile_topup,unknown
Check my balance please. What is my balance?,Check my balance please. What is my balance?,unknown,unknown
"If there is no speech in the audio, return empty text.",,mobile_topup,
Check my balance please.,Check my balance please.,unknown,unknown
I want to share my account details on WhatsApp.,I want to share my account details on WhatsApp.,download_statement,unknown
سو روپے تاریخ ایچ بی ایل میں سینڈ کر دیں۔,سو روپے طارق ایچ بی ایل میں سینڈ کر دیں۔,mobile_topup,send_money
Send 50 rupees to 03350543212 on EasyPaisa.,Send 50 rupees to 0335 0543212 on Easypaisa.,send_money,send_money
Send fifty rupees to Syed Muhammad Bilal Asghar.,Send 50 rupees to Syed Muhammad Bilal Asghar.,send_money,send_money
ملازمتیں۔,محمد کے اکاؤنٹ میں پانچ ہزار روپے بھیجیں.,unknown,send_money
I want to know how to check balance.,I want to know how to check balance.,download_statement,unknown
Hello,Hello,unknown,unknown
Send one rupees to Hamza Shahbaz Sada.,Send 1 rupees to Hammad Shahbaz.,send_money,send_money
Send one rupees to Muhammad Shafaat.,Sent one rupees to Muhammad Shehbaz.,send_money,send_money
سینڈ ون تھاؤزنڈ ٹو حسنین امجد,Send 1000 to Hasnain Amjad.,send_money,send_money
"Hello, send 2000 rupee to Sheriyar Khan EasyPaisa account.","Hello, send 2000 rupee to Shehryar Khan EasyPaisa account.",send_money,send_money
فیس آئی ڈی ایکٹیویشن,فیس آئی ڈی ایکٹیویشن,pay_bill,unknown
میرا مطلب ہے کہ میرے پاس پیپال ہے اور میں کیسے ویزا کو ٹرانسفر کروں؟,میرا مطلب ہے کہ میرے پاس پیپا کے اور میں کیسے ویزا کو ٹرانسفر کروں۔,send_money,send_money
السلام علیکم,اسلام علیکم,unknown,unknown
One thousand,One thousand.,unknown,unknown
Send 500 rupees to Muhammad Dawood Nasir JazzCash account.,Send 500 rupees to Muhammad Dawood Nasir JazzCash account.,send_money,send_money
Send 1000 rupees to Abdul Wahab.,Send one thousand rupees to Abdul Wahab.,send_money,send_money
ہی یو بی ایل,Hey UBL,unknown,unknown
ٹین تھاؤزنڈ,"10,000",unknown,unknown
Send Harris money.,Send Haris money.,unknown,send_money
Send one rupees Syedullah Al-Habeeb account.,Send one rupees Sibghatullah Al Habib account.,send_money,send_money
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,pay_bill,send_money
باقی ہو۔,میرزبا، واپسی ہو.,unknown,unknown
پے مائے الیکٹرسیٹی بل,Pay my electricity bill.,pay_bill,pay_bill
حسن کو ایک ہزار روپے ٹرانسفر کر دو۔,حسن کو ایک ہزار روپے ٹرانسفر کر دو۔,send_money,send_money
موبائل لوڈ,موبائل لوڈ موبائل لوڈ,unknown,topup
موبائل لوڈ,موبائل لوڈ,unknown,topup
شو بیلنس,Show balance,mobile_topup,unknown
Send four hundred rupees to Hamza Fazal Bank Al Habib.,Send 400 rupees to Hamza Fazal Bank Al Habib.,send_money,send_money
Send Anas Asif Bank Al Habib thousand rupees.,Send Anas Asif Bank Al Habib thousand rupees.,send_money,send_money
Send,Send,unknown,send_money
International transactions,International transactions.,download_statement,unknown
Send 25000 to my NayaPay account.,Send 25000 to my NayaPay account.,send_money,send_money
میرے نئے پیمر پچیس ہزار روپے بھیج دو۔,میرے نیاز پیمار پچیس ہزار روپے بھیج دو.,send_money,send_money
آپ نے کھانی ہے؟,Open B,unknown,unknown
شو بزنز,شو بزنس,unknown,unknown
ٹرانسفر دا اماؤنٹ جام نسیم دے ہتھ میں آفی۔,Transfer the amount to Jam Nasir.,send_money,send_money
شو مائی اکاؤنٹ بیلنس,شو مائی اکاؤنٹ بیلنس,unknown,unknown
"If there is no speech in the audio, return empty text.",,mobile_topup,
شو می اکاؤنٹ بیلنس,Show my account balance.,unknown,unknown
اگر آڈیو میں کوئی تقریر نہیں ہے تو خالی متن واپس کریں۔ اہم: آڈیو میں اردو یا انگریزی تقریر ہو سکتی ہے۔ مذکورہ نام عام طور پر پاکستانی نام ہیں۔ آڈیو میں پاکستانی ناموں کو صحیح طریقے سے نقل کریں۔ آڈیو ایک مالیاتی حکم ہے رقم بھیجنے/منتقل کرنے کے لیے۔ احکامات میں شامل ہو سکتے ہیں: رقم کی منتقلی، بل کی ادائیگی، موبائل ٹاپ اپس، یا بیان کی درخواست۔ نمبر اور مقداریں کسی بھی زبان میں بولی جا سکتی ہیں — ہمیشہ انہیں عددی اعداد میں تبدیل کریں۔ مذکورہ نام عام طور پر پاکستانی نام ہیں۔ فائدہ اٹھانے والے کے نام اور بینک کے نام کو صحیح طریقے سے پکڑنے پر توجہ دیں۔ فلر الفاظ کو نظر انداز کریں۔,Please transfer 5000 rupees to Ali's account.,send_money,send_money
مجھے میرے بینک کی اسٹیٹمنٹ دو پچھلے تیس دنوں کی۔,مجھے میرے بینک کی اسٹیٹمنٹ دو پچھلے تیس دنوں کی.,download_statement,download_statement
Can you show me my statement for the past 30 days?,Can you show me my statement for the past 30 days?,download_statement,download_statement
میں یہی۔,میں یہی,unknown,unknown
پندرہ ہزار روپے کے آرٹو محمد سعید,Send 15000 rupee to Muhammad Saeed.,send_money,send_money
Send 25000 to Faisal Riaz.,Send 25000 to Faisal Riaz.,send_money,send_money
Send money to Hamad Chaudhry.,Send money to Hammad Chaudhry.,send_money,send_money
Money transfer,Money transfer,unknown,send_money
احسان الٰہی کو ایک روپیہ بھیج دو۔,احسان الہی کو ایک روپیہ بھیج دو۔,send_money,send_money
عبدالسمیع کو میزان بینک میں پانچ سو بھیج دو۔,عبدالصمی کو میزان بینک میں 500 بھیج دو.,send_money,send_money
عبدالسمیع کو پانچ سو بھیج دو۔,عبدالسمیع کو پانچ سو بھیج دو۔,send_money,send_money
Send 500 to Abdul Sami.,Send 500 to Abdul Sami.,send_money,send_money
"Send one lakh rupees to Umair Naveed Khan, Meezan Bank.",Send 1 lakh rupees to Umair Naveed Khan Meezan Bank.,send_money,send_money
کار,کر,unknown,unknown
سینڈ تھرٹی تھاؤزنڈ ٹو حنید نوید خان,Send 30000 to Hunain Naveed Khan.,send_money,send_money
Send 5000 to Anas Musa account.,Send 5000 to Anas Musa account.,send_money,send_money
Send twenty thousand to Farhan Naveed Khan.,"Send 20,000 to Farah Naveed Khan.",send_money,send_money
پانچ سو روپے سید ابوذر شاہ کو بھیج دیں۔,پانچ سو روپیز سید ابوذر شاہ کو بھیج دیں.,send_money,send_money
سید ابوذر,سید ابوذر,unknown,unknown
ابو ذر کو پانچ سو روپے بھیج دو۔,ابوذر کو 500 روپیز بھیج دو.,send_money,send_money
پانچ ہزار۔,Send me the amount.,unknown,unknown
سید ابودرشاک کو دو سو روپے بیج دو۔,سید ابو ذیشاہ کو دو سو روپے بھیج دو.,send_money,send_money
